"id","Name","Universe","Alignment","Eye_Color","Sex","GSM","Alive","AppearanceBin","Inaugural_Mo","Inaugural_Yr","IdentitiyStatus","URL","TotalAppearances"
15,"Matthew Murdock (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",13,"Apr",1964,"Public Identity","https://marvel.fandom.com/Matthew_Murdock_(Earth-616)",1338
16,"Stephen Strange (Earth-616)","marvel","Good Characters","Grey Eyes","Male Characters","","Living Characters",13,"Jul",1963,"Public Identity","https://marvel.fandom.com/Stephen_Strange_(Earth-616)",1307
17,"Mary Jane Watson (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",13,"Jun",1965,"No Dual Identity","https://marvel.fandom.com/Mary_Jane_Watson_(Earth-616)",1304
18,"John Jonah Jameson (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",13,"Mar",1963,"No Dual Identity","https://marvel.fandom.com/John_Jonah_Jameson_(Earth-616)",1266
19,"Robert Drake (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",13,"Sep",1963,"Secret Identity","https://marvel.fandom.com/Robert_Drake_(Earth-616)",1265
20,"Henry Pym (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",12,"Jan",1962,"Public Identity","https://marvel.fandom.com/Henry_Pym_(Earth-616)",1237
21,"Charles Xavier (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",12,"Sep",1963,"Public Identity","https://marvel.fandom.com/Charles_Xavier_(Earth-616)",1233
22,"Warren Worthington III (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",12,"Sep",1963,"Public Identity","https://marvel.fandom.com/Warren_Worthington_III_(Earth-616)",1230
23,"Piotr Rasputin (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",12,"May",1975,"Secret Identity","https://marvel.fandom.com/Piotr_Rasputin_(Earth-616)",1162
24,"Wanda Maximoff (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",12,"Mar",1964,"Public Identity","https://marvel.fandom.com/Wanda_Maximoff_(Earth-616)",1161
25,"Nicholas Fury (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",11,"May",1963,"No Dual Identity","https://marvel.fandom.com/Nicholas_Fury_(Earth-616)",1137
26,"Janet van Dyne (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",11,"Jun",1963,"Public Identity","https://marvel.fandom.com/Janet_van_Dyne_(Earth-616)",1120
27,"Jean Grey (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Deceased Characters",11,"Sep",1963,"Public Identity","https://marvel.fandom.com/Jean_Grey_(Earth-616)",1107
28,"Natalia Romanova (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","Bisexual Characters","Living Characters",10,"Apr",1964,"Public Identity","https://marvel.fandom.com/Natalia_Romanova_(Earth-616)",1050
29,"Kurt Wagner (Earth-616)","marvel","Good Characters","Yellow Eyes","Male Characters","","Living Characters",10,"May",1975,"Secret Identity","https://marvel.fandom.com/Kurt_Wagner_(Earth-616)",1047
30,"Vision (Earth-616)","marvel","Good Characters","Gold Eyes","Male Characters","","Living Characters",10,"Oct",1968,"Secret Identity","https://marvel.fandom.com/Vision_(Earth-616)",1007
31,"May Reilly (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",10,"Aug",1962,"No Dual Identity","https://marvel.fandom.com/May_Reilly_(Earth-616)",1000
32,"Katherine Pryde (Earth-616)","marvel","Good Characters","Hazel Eyes","Female Characters","","Living Characters",9,"Jan",1980,"Secret Identity","https://marvel.fandom.com/Katherine_Pryde_(Earth-616)",886
33,"Carol Danvers (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",9,"Mar",1968,"Public Identity","https://marvel.fandom.com/Carol_Danvers_(Earth-616)",881
34,"Jennifer Walters (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",9,"Feb",1980,"Public Identity","https://marvel.fandom.com/Jennifer_Walters_(Earth-616)",881
35,"Emma Frost (Earth-616)","marvel","Neutral Characters","Blue Eyes","Female Characters","","Living Characters",9,"Jan",1980,"Public Identity","https://marvel.fandom.com/Emma_Frost_(Earth-616)",880
36,"Frank Castle (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",9,"Feb",1974,"Public Identity","https://marvel.fandom.com/Frank_Castle_(Earth-616)",878
37,"Luke Cage (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",9,"Jun",1972,"No Dual Identity","https://marvel.fandom.com/Luke_Cage_(Earth-616)",856
38,"Conan (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",8,"Oct",1970,"No Dual Identity","https://marvel.fandom.com/Conan_(Earth-616)",787
39,"Joseph Robertson (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",8,"Aug",1967,"No Dual Identity","https://marvel.fandom.com/Joseph_Robertson_(Earth-616)",752
40,"Pietro Maximoff (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",7,"Mar",1964,"Public Identity","https://marvel.fandom.com/Pietro_Maximoff_(Earth-616)",740
41,"Hercules (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","Bisexual Characters","Living Characters",7,"Oct",1965,"No Dual Identity","https://marvel.fandom.com/Hercules_(Earth-616)",725
42,"Victor von Doom (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",7,"Jul",1962,"Public Identity","https://marvel.fandom.com/Victor_von_Doom_(Earth-616)",721
43,"Max Eisenhardt (Earth-616)","marvel","Neutral Characters","Grey Eyes","Male Characters","","Living Characters",7,"Sep",1963,"Public Identity","https://marvel.fandom.com/Max_Eisenhardt_(Earth-616)",709
44,"Elizabeth Braddock (Earth-616)","marvel","Neutral Characters","Blue Eyes","Female Characters","Bisexual Characters","Living Characters",7,"Dec",1976,"Secret Identity","https://marvel.fandom.com/Elizabeth_Braddock_(Earth-616)",708
45,"Norrin Radd (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",7,"Mar",1966,"Public Identity","https://marvel.fandom.com/Norrin_Radd_(Earth-616)",696
46,"Norman Osborn (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",7,"Jul",1964,"Public Identity","https://marvel.fandom.com/Norman_Osborn_(Earth-616)",692
47,"Eugene Thompson (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",7,"Aug",1962,"Secret Identity","https://marvel.fandom.com/Eugene_Thompson_(Earth-616)",689
48,"Simon Williams (Earth-616)","marvel","Good Characters","Red Eyes","Male Characters","","Living Characters",7,"Oct",1964,"Public Identity","https://marvel.fandom.com/Simon_Williams_(Earth-616)",686
49,"Samuel Guthrie (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",7,"Nov",1982,"Secret Identity","https://marvel.fandom.com/Samuel_Guthrie_(Earth-616)",657
50,"James Buchanan Barnes (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",6,"Mar",1941,"Secret Identity","https://marvel.fandom.com/James_Buchanan_Barnes_(Earth-616)",641
51,"Remy LeBeau (Earth-616)","marvel","Good Characters","Black Eyeballs","Male Characters","","Living Characters",6,"Jul",1990,"Secret Identity","https://marvel.fandom.com/Remy_LeBeau_(Earth-616)",636
52,"Daniel Rand (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",6,"May",1974,"Secret Identity","https://marvel.fandom.com/Daniel_Rand_(Earth-616)",618
53,"Nathan Summers (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",6,"Jan",1986,"Public Identity","https://marvel.fandom.com/Nathan_Summers_(Earth-616)",612
54,"Elizabeth Brant (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Living Characters",6,"Sep",1963,"No Dual Identity","https://marvel.fandom.com/Elizabeth_Brant_(Earth-616)",599
55,"Richard Jones (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",6,"May",1962,"Secret Identity","https://marvel.fandom.com/Richard_Jones_(Earth-616)",590
56,"Edwin Jarvis (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",6,"Nov",1964,"No Dual Identity","https://marvel.fandom.com/Edwin_Jarvis_(Earth-616)",567
57,"Alexander Summers (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",6,"Mar",1969,"Public Identity","https://marvel.fandom.com/Alexander_Summers_(Earth-616)",558
58,"Patricia Walker (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",5,"Nov",1944,"Secret Identity","https://marvel.fandom.com/Patricia_Walker_(Earth-616)",550
59,"Human Torch (Android) (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",5,"Oct",1939,"Public Identity","https://marvel.fandom.com/Human_Torch_(Android)_(Earth-616)",548
60,"Loki Laufeyson (Earth-616)","marvel","Neutral Characters","Green Eyes","Genderfluid Characters","Bisexual Characters","Living Characters",5,"Aug",1949,"No Dual Identity","https://marvel.fandom.com/Loki_Laufeyson_(Earth-616)",532
61,"Franklin Nelson (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",5,"Apr",1964,"No Dual Identity","https://marvel.fandom.com/Franklin_Nelson_(Earth-616)",528
62,"Brian Braddock (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",5,"Oct",1976,"Public Identity","https://marvel.fandom.com/Brian_Braddock_(Earth-616)",528
63,"Otto Octavius (Earth-616)","marvel","Neutral Characters","Hazel Eyes","Male Characters","","Deceased Characters",5,"Jul",1963,"Secret Identity","https://marvel.fandom.com/Otto_Octavius_(Earth-616)",526
64,"James Rhodes (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",5,"Jan",1979,"Secret Identity","https://marvel.fandom.com/James_Rhodes_(Earth-616)",525
65,"Timothy Dugan (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",5,"May",1963,"Public Identity","https://marvel.fandom.com/Timothy_Dugan_(Earth-616)",517
66,"Crystalia Amaquelin (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",5,"Dec",1965,"Public Identity","https://marvel.fandom.com/Crystalia_Amaquelin_(Earth-616)",512
67,"Samuel Wilson (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",5,"Sep",1969,"Public Identity","https://marvel.fandom.com/Samuel_Wilson_(Earth-616)",512
68,"Wilson Fisk (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",5,"Jul",1967,"Public Identity","https://marvel.fandom.com/Wilson_Fisk_(Earth-616)",503
69,"Odin Borson (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",5,"Oct",1962,"Public Identity","https://marvel.fandom.com/Odin_Borson_(Earth-616)",502
70,"Deadpool (Wade Wilson)","marvel","Neutral Characters","Brown Eyes","Male Characters","Transvestites","Living Characters",5,"Feb",1991,"Secret Identity","https://marvel.fandom.com/Deadpool_(Wade_Wilson)",500
71,"Dane Whitman (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",5,"Dec",1967,"Secret Identity","https://marvel.fandom.com/Dane_Whitman_(Earth-616)",478
72,"Harold Osborn (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",5,"Dec",1965,"No Dual Identity","https://marvel.fandom.com/Harold_Osborn_(Earth-616)",474
73,"Franklin Richards (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",5,"Nov",1968,"No Dual Identity","https://marvel.fandom.com/Franklin_Richards_(Earth-616)",473
74,"Jessica Drew (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",5,"Feb",1977,"Secret Identity","https://marvel.fandom.com/Jessica_Drew_(Earth-616)",471
75,"Roberto da Costa (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",5,"Nov",1982,"Secret Identity","https://marvel.fandom.com/Roberto_da_Costa_(Earth-616)",464
76,"Rahne Sinclair (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",4,"Nov",1982,"Secret Identity","https://marvel.fandom.com/Rahne_Sinclair_(Earth-616)",448
77,"Elizabeth Ross (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",4,"May",1962,"Public Identity","https://marvel.fandom.com/Elizabeth_Ross_(Earth-616)",446
78,"Lorna Dane (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",4,"Oct",1968,"Secret Identity","https://marvel.fandom.com/Lorna_Dane_(Earth-616)",433
79,"Johnathon Blaze (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",4,"Aug",1972,"Secret Identity","https://marvel.fandom.com/Johnathon_Blaze_(Earth-616)",426
80,"Sif (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",4,"Mar",1964,"No Dual Identity","https://marvel.fandom.com/Sif_(Earth-616)",422
81,"Red Hulk (Thaddeus Ross)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",4,"May",1962,"Public Identity","https://marvel.fandom.com/Red_Hulk_(Thaddeus_Ross)",415
82,"Jubilation Lee (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Living Characters",4,"May",1989,"Secret Identity","https://marvel.fandom.com/Jubilation_Lee_(Earth-616)",408
83,"Volstagg (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",4,"Aug",1965,"Public Identity","https://marvel.fandom.com/Volstagg_(Earth-616)",406
84,"Balder Odinson (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",4,"Oct",1962,"Secret Identity","https://marvel.fandom.com/Balder_Odinson_(Earth-616)",403
85,"Galactus (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",4,"Mar",1966,"Secret Identity","https://marvel.fandom.com/Galactus_(Earth-616)",390
86,"Danielle Moonstar (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Living Characters",4,"Nov",1982,"Secret Identity","https://marvel.fandom.com/Danielle_Moonstar_(Earth-616)",388
87,"Marc Spector (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",4,"Aug",1975,"Secret Identity","https://marvel.fandom.com/Marc_Spector_(Earth-616)",387
88,"Gwendolyne Stacy (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Deceased Characters",4,"Dec",1965,"No Dual Identity","https://marvel.fandom.com/Gwendolyne_Stacy_(Earth-616)",384
89,"Medusalith Amaquelin (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",4,"Mar",1965,"Public Identity","https://marvel.fandom.com/Medusalith_Amaquelin_(Earth-616)",382
90,"Sabretooth (Victor Creed)","marvel","Bad Characters","Amber Eyes","Male Characters","","Living Characters",4,"Aug",1977,"Secret Identity","https://marvel.fandom.com/Sabretooth_(Victor_Creed)",382
91,"Illyana Rasputina (Earth-616)","marvel","Neutral Characters","Blue Eyes","Female Characters","","Living Characters",4,"May",1975,"Secret Identity","https://marvel.fandom.com/Illyana_Rasputina_(Earth-616)",380
92,"Johann Shmidt (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Deceased Characters",4,"Aug",1941,"Public Identity","https://marvel.fandom.com/Johann_Shmidt_(Earth-616)",376
93,"Fandral (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",4,"Aug",1965,"Secret Identity","https://marvel.fandom.com/Fandral_(Earth-616)",375
94,"Sean Cassidy (Earth-616)","marvel","Neutral Characters","Green Eyes","Male Characters","","Living Characters",4,"Jan",1967,"Secret Identity","https://marvel.fandom.com/Sean_Cassidy_(Earth-616)",374
95,"Thomas Raymond (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",4,"Sep",1940,"Secret Identity","https://marvel.fandom.com/Thomas_Raymond_(Earth-616)",373
96,"Uatu (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Deceased Characters",4,"Apr",1963,"Public Identity","https://marvel.fandom.com/Uatu_(Earth-616)",373
97,"Richard Rider (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Deceased Characters",4,"Sep",1976,"Public Identity","https://marvel.fandom.com/Richard_Rider_(Earth-616)",373
98,"Hogun (Earth-616)","marvel","Good Characters","Grey Eyes","Male Characters","","Living Characters",4,"Aug",1965,"Public Identity","https://marvel.fandom.com/Hogun_(Earth-616)",371
99,"Raven Darkholme (Earth-616)","marvel","Bad Characters","Yellow Eyes","Female Characters","Bisexual Characters","Living Characters",4,"Apr",1978,"Secret Identity","https://marvel.fandom.com/Raven_Darkholme_(Earth-616)",371
100,"Barbara Morse (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",4,"Jun",1971,"Secret Identity","https://marvel.fandom.com/Barbara_Morse_(Earth-616)",368
101,"Blackagar Boltagon (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",4,"Dec",1965,"No Dual Identity","https://marvel.fandom.com/Blackagar_Boltagon_(Earth-616)",366
102,"Brunnhilde (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",4,"Dec",1970,"Secret Identity","https://marvel.fandom.com/Brunnhilde_(Earth-616)",361
103,"Alison Blaire (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",4,"Feb",1980,"Public Identity","https://marvel.fandom.com/Alison_Blaire_(Earth-616)",353
104,"Venom (Symbiote) (Earth-616)","marvel","Neutral Characters","Variable Eyes","Agender Characters","","Living Characters",3,"May",1984,"Known to Authorities Identity","https://marvel.fandom.com/Venom_(Symbiote)_(Earth-616)",348
105,"John Walker (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Nov",1986,"Secret Identity","https://marvel.fandom.com/John_Walker_(Earth-616)",346
106,"Greer Grant (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",3,"Nov",1972,"Public Identity","https://marvel.fandom.com/Greer_Grant_(Earth-616)",342
107,"Karla Sofen (Earth-616)","marvel","Neutral Characters","Blue Eyes","Female Characters","","Living Characters",3,"Dec",1975,"Public Identity","https://marvel.fandom.com/Karla_Sofen_(Earth-616)",340
108,"William Baker (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",3,"Sep",1963,"Secret Identity","https://marvel.fandom.com/William_Baker_(Earth-616)",338
109,"Sharon Carter (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",3,"Mar",1966,"Public Identity","https://marvel.fandom.com/Sharon_Carter_(Earth-616)",332
110,"Felicia Hardy (Earth-616)","marvel","Bad Characters","","Female Characters","","Living Characters",3,"Jul",1979,"Public Identity","https://marvel.fandom.com/Felicia_Hardy_(Earth-616)",332
111,"Cain Marko (Earth-616)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",3,"Jul",1965,"Public Identity","https://marvel.fandom.com/Cain_Marko_(Earth-616)",329
112,"Maria Hill (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Living Characters",3,"Apr",2005,"No Dual Identity","https://marvel.fandom.com/Maria_Hill_(Earth-616)",325
113,"Ben Urich (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Jul",1978,"No Dual Identity","https://marvel.fandom.com/Ben_Urich_(Earth-616)",324
114,"Heather Douglas (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","Bisexual Characters","Living Characters",3,"Jan",1973,"Secret Identity","https://marvel.fandom.com/Heather_Douglas_(Earth-616)",323
115,"Millicent Collins (Earth-616)","marvel","","Blue Eyes","Female Characters","","Living Characters",3,"Dec",1945,"Public Identity","https://marvel.fandom.com/Millicent_Collins_(Earth-616)",321
116,"James Proudstar (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Jun",1984,"Secret Identity","https://marvel.fandom.com/James_Proudstar_(Earth-616)",320
117,"Angelica Jones (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",3,"May",1985,"Known to Authorities Identity","https://marvel.fandom.com/Angelica_Jones_(Earth-616)",319
118,"Edward Brock (Earth-616)","marvel","Neutral Characters","Black Eyes","Male Characters","","Living Characters",3,"Sep",1986,"Public Identity","https://marvel.fandom.com/Edward_Brock_(Earth-616)",318
119,"MacDonald Gargan (Earth-616)","marvel","Bad Characters","Brown Eyes","Male Characters","","Living Characters",3,"Dec",1964,"Secret Identity","https://marvel.fandom.com/MacDonald_Gargan_(Earth-616)",317
120,"Mephisto (Earth-616)","marvel","Bad Characters","White Eyes","Male Characters","","Living Characters",3,"Dec",1968,"No Dual Identity","https://marvel.fandom.com/Mephisto_(Earth-616)",316
121,"Tabitha Smith (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",3,"Nov",1985,"Secret Identity","https://marvel.fandom.com/Tabitha_Smith_(Earth-616)",316
122,"Jean-Paul Beaubier (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","Homosexual Characters","Living Characters",3,"Apr",1979,"Secret Identity","https://marvel.fandom.com/Jean-Paul_Beaubier_(Earth-616)",313
123,"Daniel Ketch (Earth-616)","marvel","Neutral Characters","Green Eyes","Male Characters","","Living Characters",3,"May",1990,"Secret Identity","https://marvel.fandom.com/Daniel_Ketch_(Earth-616)",311
124,"Neena Thurman (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",3,"Mar",1992,"Secret Identity","https://marvel.fandom.com/Neena_Thurman_(Earth-616)",310
125,"Wong (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Jul",1963,"No Dual Identity","https://marvel.fandom.com/Wong_(Earth-616)",306
126,"Thanos (Earth-616)","marvel","Bad Characters","Red Eyes","Male Characters","","Living Characters",3,"Feb",1973,"No Dual Identity","https://marvel.fandom.com/Thanos_(Earth-616)",306
127,"Shang-Chi (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Dec",1973,"No Dual Identity","https://marvel.fandom.com/Shang-Chi_(Earth-616)",296
128,"Alicia Masters (Earth-616)","marvel","Good Characters","Brown Eyes","Female Characters","","Living Characters",3,"Nov",1962,"No Dual Identity","https://marvel.fandom.com/Alicia_Masters_(Earth-616)",293
129,"Robert Baldwin (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Sep",1988,"Secret Identity","https://marvel.fandom.com/Robert_Baldwin_(Earth-616)",293
130,"Vance Astrovik (Earth-616)","marvel","Good Characters","Hazel Eyes","Male Characters","","Living Characters",3,"Jul",1975,"Public Identity","https://marvel.fandom.com/Vance_Astrovik_(Earth-616)",290
131,"Wendell Vaughn (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Jan",1978,"Secret Identity","https://marvel.fandom.com/Wendell_Vaughn_(Earth-616)",290
132,"Chili Storm (Earth-616)","marvel","","Green Eyes","Female Characters","Homosexual Characters","Living Characters",3,"Oct",1948,"Public Identity","https://marvel.fandom.com/Chili_Storm_(Earth-616)",284
133,"Abner Jenkins (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Aug",1964,"Public Identity","https://marvel.fandom.com/Abner_Jenkins_(Earth-616)",284
134,"Elektra Natchios (Earth-616)","marvel","Neutral Characters","Blue Eyes","Female Characters","","Living Characters",3,"Jan",1981,"Secret Identity","https://marvel.fandom.com/Elektra_Natchios_(Earth-616)",280
135,"Bullseye (Lester) (Earth-616)","marvel","Bad Characters","Blue Eyes","Male Characters","","Living Characters",3,"Mar",1976,"Secret Identity","https://marvel.fandom.com/Bullseye_(Lester)_(Earth-616)",277
136,"Forge (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Aug",1984,"Public Identity","https://marvel.fandom.com/Forge_(Earth-616)",276
137,"Virginia Potts (Earth-616)","marvel","Good Characters","Green Eyes","Female Characters","","Living Characters",3,"Sep",1963,"No Dual Identity","https://marvel.fandom.com/Virginia_Potts_(Earth-616)",274
138,"Walter Langkowski (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",3,"Apr",1979,"Secret Identity","https://marvel.fandom.com/Walter_Langkowski_(Earth-616)",273
139,"Gorgon (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",3,"Nov",1965,"Secret Identity","https://marvel.fandom.com/Gorgon_(Earth-616)",272
